customer_id,total_orders,total_quantity,total_revenue,average_order_value,average_discount
110,8,40,25096.329999999998,3137.0412499999998,0.27375000000000005
415,6,38,23652.030000000002,3942.0050000000006,0.16599999999999998
273,5,27,21471.93,4294.386,0.12600000000000003
236,3,20,20469.11,6823.036666666667,0.14
374,6,28,19704.43,3284.0716666666667,0.13499999999999998
427,4,24,18531.07,4632.7675,0.15750000000000003
244,5,23,18190.83,3638.166,0.174
160,5,32,17988.33,3597.666,0.24
378,3,27,17836.739999999998,5945.579999999999,0.2333333333333333
11,4,24,17527.18,4381.795,0.30333333333333334
516,6,39,17374.600000000002,2895.766666666667,0.246
3,4,27,17346.71,4336.6775,0.2275
357,4,26,17327.489999999998,4331.8724999999995,0.235
381,7,31,17158.09,2451.155714285714,0.23
171,3,11,16898.910000000003,5632.970000000001,0.10000000000000002
184,4,26,16894.12,4223.53,0.18666666666666665
150,3,15,16522.53,5507.509999999999,0.2733333333333334
304,5,28,16405.82,3281.1639999999998,0.188
212,3,15,16405.05,5468.349999999999,0.12666666666666668
368,6,28,16272.310000000001,2712.0516666666667,0.348
