promotion_sk,transactions,revenue
2282445493630624937,6,27795.64
-8034136840796164815,4,24600.86
-7013749515427852344,7,24298.17
1536753213064338405,5,24057.35
3782137775028996868,7,24012.41
4777072435839717436,8,23815.56
6421526591548961726,4,23230.62
1157647278561420306,4,21340.99
-4083047919925206608,4,21274.42
-2936356529320094847,4,21160.65
-1455509285720489551,4,20564.65
5908549254978591518,6,20114.46
-254556216684237535,4,19875.14
388414551669880168,5,19736.65
2983367907467871301,4,19723.82
-8687139786014286620,3,19608.11
6962233151768742639,3,19607.81
-1784336445839373681,5,19219.77
7315152780130824963,5,18946.87
5654000940722330301,5,18716.25
3189381611639696930,5,17985.99
8226356010402295156,3,17924.73
-3005821385372783700,3,17923.47
6911518255149513738,2,17866.54
-8959330437038379455,4,17708.16
2310357850953929294,2,17639.46
-1867929726631816051,5,17590.56
-4096726963528943783,5,17549.58
-8108316900775472714,6,17303.79
6166669857170683836,3,17252.98
-5697963288041623872,4,17102.05
-3568620952499324178,5,17068.93
-8300094569687645366,4,17018.13
4522254104681997130,4,17002.85
7384677281345320868,3,16863.22
4495672543418174839,5,16792.29
8889012050165663807,3,16736.71
5770186115916504072,4,16487.07
5294847387611855981,4,16463.09
-7454671274807736640,4,16267.95
-6823407412962597375,4,16149.44
-2889962806082461924,4,16092.83
-6327436100988349976,3,16059.75
-3389685501376861672,5,16057.79
-7207420008422882706,2,16055.24
6481522964350262922,5,15977.54
6117422957082892293,5,15836.55
3525318268134575360,5,15832.32
-2489422962357934487,3,15764.89
9001979426017848384,4,15707.39
-6223273731624404955,5,15657.47
-5114286614580336332,3,15639.35
5173820360633171470,7,15553.31
-1931231880553328050,5,15427.41
3993555327497960006,8,15234.46
4710627312055786049,5,15203.39
4439481954654707357,3,15130.79
4095807231658238832,4,14977.68
6931298152872151441,5,14977.17
5416560599554859781,3,14925.14
-9005455253086169716,3,14886.87
378770466471758761,3,14868.82
-6655627036894290146,2,14865.22
5686346985222510408,4,14837.35
6828053908633534015,2,14734.95
604510690672741401,3,14708.37
-8164299719400345373,5,14656.12
4908533661712787463,3,14590.79
6956436487975749737,5,14361.5
-1921812135124016,3,14339.73
-6943884301217313439,4,14265.06
-4213767573535788857,3,14211.33
-1644524645887992629,5,14129.95
-3224675241586946358,4,14112.29
1818190642440824865,6,14073.45
-750952645686917651,5,13995.88
8713583529807266080,5,13986.91
-3379337704204611778,3,13918.3
-1792734524677816875,3,13902.18
3945922666947395408,4,13761.67
-5697438478406360816,3,13761.53
-5424776878890010187,5,13758.42
-3336794526024272168,4,13723.55
6113841043688463034,3,13671.6
4598251383131892550,3,13670.36
3806364390891652089,2,13666.93
9202602340419197501,6,13666.93
-3434771725015259041,6,13664.92
5834346999280473561,3,13629.38
-1844460207581887183,2,13607.1
4455546991028463657,6,13516.87
-1932149852289013984,3,13501.95
3525730614224375403,4,13499.79
-8730220932648639663,4,13443
7106952362442785727,4,13419.02
-9181575555852198557,3,13415.7
4660316404677059138,4,13397.81
258954250762421580,3,13272.7
-8293691689598232218,3,13264.39
3429074851578306509,4,13089.2
8029207473331959222,2,13083.21
4055088588580718704,4,12975.6
2808432417874715009,3,12942.43
7715266546004984658,2,12908.48
-3119006941580806364,3,12894.26
8866595555681728003,3,12853.54
-1955537854954528408,3,12827.38
8887889480388902068,2,12783.77
863312537356737786,4,12756.06
2989874234409122005,2,12751.14
-6219595940719444547,5,12686.69
-6814406338468183114,3,12651.51
-7462317180855630510,5,12580.61
-2597698858506313959,6,12577.41
-2114365866301433247,4,12559.65
-5982131249696201524,3,12528.91
1022026372600409387,2,12500.64
-2501891818498697362,5,12493.33
