product_id,total_orders,total_quantity_sold,total_revenue,average_unit_price,average_discount
2168,2,10,17065.35,465.115,0.32
2012,2,11,16418.06,609.47,0.2
3647,2,11,15436.939999999999,586.095,0.09
7931,2,8,15414.91,506.885,0.4
83,3,18,13959.57,345.9566666666667,0.22
6789,3,23,13776.93,637.3066666666666,0.10000000000000002
9727,3,25,13629.749999999998,504.78000000000003,0.24666666666666667
4355,3,27,13497.929999999998,730.8433333333334,0.29333333333333333
616,2,13,13129.09,418.45,0.22499999999999998
8109,2,16,13047.02,233.925,0.29000000000000004
2021,3,19,12817.44,435.62999999999994,0.265
9399,2,8,12317.46,564.725,0.28500000000000003
4858,2,8,12175,611.125,0.15
853,2,12,12115.960000000001,507.315,0.425
6797,2,11,12008.33,646.39,0.425
7691,2,17,11867.51,450.885,0.175
6928,2,8,11866.23,691.6,0.22
1376,2,14,11799.49,502.91499999999996,0.365
1446,2,15,11570.46,653.49,0.36
5253,2,8,11391.8,514.12,0.08
