product_id,product_name,category,subcategory,cost_price
PROD00001,Accessories Pro,Electronics,Accessories,42888.51
PROD00002,Technology Premium,Books,Technology,12488.33
PROD00003,Furniture Plus,Home,Furniture,28619.64
PROD00004,Cameras Max,Electronics,Cameras,2728.34
PROD00005,Shoes Max,Clothing,Shoes,47708.56
PROD00006,Headphones Premium,Electronics,Headphones,38699.02
PROD00007,Dresses Plus,Clothing,Dresses,22891.63
PROD00008,Kitchen Pro,Home,Kitchen,39246.91
PROD00009,Education Pro,Books,Education,29625.38
PROD00010,Fiction Pro,Books,Fiction,27373.31
PROD00011,Shoes Pro,Clothing,Shoes,20560.8
PROD00012,Shoes Max,Clothing,Shoes,41994.74
PROD00013,Smartphones Plus,Electronics,Smartphones,32899.46
PROD00014,Dresses Basic,Clothing,Dresses,49157.48
PROD00015,Lighting Premium,Home,Lighting,48630.71
PROD00016,Accessories Plus,Electronics,Accessories,46071.59
PROD00017,Non-Fiction Premium,Books,Non-Fiction,18687.35
PROD00018,Headphones Max,Electronics,Headphones,6762.34
PROD00019,Decor Basic,Home,Decor,3207.91
PROD00020,Accessories Pro,Electronics,Accessories,42560.59
PROD00021,Decor Plus,Home,Decor,13670.6
PROD00022,Headphones Pro,Electronics,Headphones,38530.32
PROD00023,Cameras Pro,Electronics,Cameras,22533.38
PROD00024,Furniture Premium,Home,Furniture,17978.54
PROD00025,Jeans Premium,Clothing,Jeans,13323.9
PROD00026,Cameras Basic,Electronics,Cameras,34334.14
PROD00027,Education Basic,Books,Education,42843.01
PROD00028,Accessories Basic,Electronics,Accessories,48423.16
PROD00029,Decor Max,Home,Decor,15012.15
PROD00030,Shirts Basic,Clothing,Shirts,42744.61
PROD00031,Technology Max,Books,Technology,23155.96
PROD00032,Accessories Basic,Electronics,Accessories,41535.58
PROD00033,Shoes Pro,Clothing,Shoes,20089.03
PROD00034,Headphones Max,Electronics,Headphones,45879.69
PROD00035,Headphones Basic,Electronics,Headphones,9967.74
PROD00036,Storage Pro,Home,Storage,42379.04
PROD00037,Furniture Basic,Home,Furniture,23103.65
PROD00038,Shirts Max,Clothing,Shirts,36249.1
PROD00039,Fiction Basic,Books,Fiction,21390.53
PROD00040,Kitchen Pro,Home,Kitchen,13821.59
PROD00041,Storage Pro,Home,Storage,30996.91
PROD00042,Shoes Plus,Clothing,Shoes,44150.65
PROD00043,Fiction Basic,Books,Fiction,19212.46
PROD00044,Lighting Pro,Home,Lighting,39880.18
PROD00045,Shoes Max,Clothing,Shoes,49471.24
PROD00046,Kitchen Premium,Home,Kitchen,24285.51
PROD00047,Business Max,Books,Business,13594.74
PROD00048,Smartphones Plus,Electronics,Smartphones,1562.24
PROD00049,Jackets Basic,Clothing,Jackets,23637.05
PROD00050,Kitchen Max,Home,Kitchen,48701.6
PROD00051,Cameras Pro,Electronics,Cameras,13399.7
PROD00052,Laptops Pro,Electronics,Laptops,49134.97
PROD00053,Decor Plus,Home,Decor,49577.94
PROD00054,Shirts Pro,Clothing,Shirts,15968.42
PROD00055,Kitchen Max,Home,Kitchen,35057.98
PROD00056,Business Max,Books,Business,47423.59
PROD00057,Fiction Max,Books,Fiction,24572.78
PROD00058,Headphones Basic,Electronics,Headphones,11018.57
PROD00059,Non-Fiction Premium,Books,Non-Fiction,45903.02
PROD00060,Jeans Pro,Clothing,Jeans,8955.25
PROD00061,Furniture Basic,Home,Furniture,29371.8
PROD00062,Accessories Basic,Electronics,Accessories,43047.41
PROD00063,Headphones Plus,Electronics,Headphones,33140.76
PROD00064,Business Basic,Books,Business,16197.9
PROD00065,Shirts Premium,Clothing,Shirts,48037.04
PROD00066,Furniture Pro,Home,Furniture,28142.67
PROD00067,Education Plus,Books,Education,29488.61
PROD00068,Shirts Premium,Clothing,Shirts,34456.07
PROD00069,Accessories Pro,Electronics,Accessories,47444.53
PROD00070,Business Premium,Books,Business,38564.44
PROD00071,Business Basic,Books,Business,15979.02
PROD00072,Education Pro,Books,Education,5295.1
PROD00073,Fiction Pro,Books,Fiction,3982.55
PROD00074,Kitchen Plus,Home,Kitchen,44277.48
PROD00075,Headphones Plus,Electronics,Headphones,13334.1
PROD00076,Shoes Basic,Clothing,Shoes,39372.3
PROD00077,Smartphones Basic,Electronics,Smartphones,36655.97
PROD00078,Shirts Premium,Clothing,Shirts,18997.76
PROD00079,Technology Premium,Books,Technology,24026.51
PROD00080,Business Pro,Books,Business,3778.1
PROD00081,Laptops Plus,Electronics,Laptops,13130.27
PROD00082,Cameras Basic,Electronics,Cameras,44407.77
PROD00083,Shirts Basic,Clothing,Shirts,44916.4
PROD00084,Headphones Plus,Electronics,Headphones,30720.87
PROD00085,Fiction Basic,Books,Fiction,32716.4
PROD00086,Education Premium,Books,Education,5152.76
PROD00087,Jeans Pro,Clothing,Jeans,27750.21
PROD00088,Technology Plus,Books,Technology,14940.29
PROD00089,Cameras Basic,Electronics,Cameras,27528.17
PROD00090,Fiction Pro,Books,Fiction,290.4
PROD00091,Headphones Plus,Electronics,Headphones,31292.04
PROD00092,Fiction Pro,Books,Fiction,10426.95
PROD00093,Dresses Basic,Clothing,Dresses,5863.9
PROD00094,Decor Premium,Home,Decor,33085.9
PROD00095,Headphones Max,Electronics,Headphones,18613.92
PROD00096,Decor Plus,Home,Decor,2326.38
PROD00097,Storage Premium,Home,Storage,41870.23
PROD00098,Business Basic,Books,Business,34853.9
PROD00099,Cameras Basic,Electronics,Cameras,40428.19
PROD00100,Lighting Max,Home,Lighting,3143.09
PROD00101,Decor Max,Home,Decor,26822.17
PROD00102,Fiction Max,Books,Fiction,23865.49
PROD00103,Headphones Premium,Electronics,Headphones,35743.85
PROD00104,Non-Fiction Max,Books,Non-Fiction,40042.47
PROD00105,Education Pro,Books,Education,37883.72
PROD00106,Shirts Pro,Clothing,Shirts,40442.19
PROD00107,Accessories Basic,Electronics,Accessories,49415.17
PROD00108,Lighting Pro,Home,Lighting,31398.59
PROD00109,Education Plus,Books,Education,36382.44
PROD00110,Headphones Basic,Electronics,Headphones,19928.01
PROD00111,Furniture Plus,Home,Furniture,45866.38
PROD00112,Smartphones Max,Electronics,Smartphones,39106.11
PROD00113,Cameras Premium,Electronics,Cameras,28373.04
PROD00114,Business Basic,Books,Business,28177.92
PROD00115,Cameras Plus,Electronics,Cameras,44018.78
PROD00116,Lighting Plus,Home,Lighting,24330.68
PROD00117,Education Premium,Books,Education,13843.17
PROD00118,Accessories Max,Electronics,Accessories,34713.7
PROD00119,Laptops Premium,Electronics,Laptops,16641.55
PROD00120,Shoes Basic,Clothing,Shoes,46049.67
PROD00121,Kitchen Basic,Home,Kitchen,39703.24
PROD00122,Dresses Plus,Clothing,Dresses,42925.92
PROD00123,Cameras Pro,Electronics,Cameras,48713.55
PROD00124,Storage Plus,Home,Storage,20896.96
PROD00125,Headphones Pro,Electronics,Headphones,45680.3
PROD00126,Lighting Premium,Home,Lighting,43372.73
PROD00127,Laptops Max,Electronics,Laptops,3374.29
PROD00128,Non-Fiction Premium,Books,Non-Fiction,42579.64
PROD00129,Business Basic,Books,Business,43771.51
PROD00130,Jeans Basic,Clothing,Jeans,22876.79
PROD00131,Kitchen Pro,Home,Kitchen,41192.96
PROD00132,Non-Fiction Premium,Books,Non-Fiction,6281.26
PROD00133,Smartphones Pro,Electronics,Smartphones,29742.78
PROD00134,Shirts Premium,Clothing,Shirts,17553.02
PROD00135,Shirts Plus,Clothing,Shirts,34473.64
PROD00136,Dresses Basic,Clothing,Dresses,8229.08
PROD00137,Business Pro,Books,Business,32404.26
PROD00138,Jeans Plus,Clothing,Jeans,25712.73
PROD00139,Smartphones Premium,Electronics,Smartphones,32403.84
PROD00140,Education Basic,Books,Education,30456.36
PROD00141,Dresses Plus,Clothing,Dresses,18886.13
PROD00142,Kitchen Premium,Home,Kitchen,23388.23
PROD00143,Non-Fiction Max,Books,Non-Fiction,5205.37
PROD00144,Non-Fiction Plus,Books,Non-Fiction,29729.25
PROD00145,Dresses Plus,Clothing,Dresses,24138.75
PROD00146,Furniture Plus,Home,Furniture,43088.43
PROD00147,Jackets Plus,Clothing,Jackets,25912.95
PROD00148,Shoes Basic,Clothing,Shoes,40137.95
PROD00149,Education Premium,Books,Education,34069.71
PROD00150,Smartphones Premium,Electronics,Smartphones,13045.37
PROD00151,Lighting Premium,Home,Lighting,1862.42
PROD00152,Business Pro,Books,Business,35697.13
PROD00153,Technology Premium,Books,Technology,33626.24
PROD00154,Non-Fiction Plus,Books,Non-Fiction,42047.87
PROD00155,Technology Pro,Books,Technology,23591.97
PROD00156,Jackets Max,Clothing,Jackets,9235.11
PROD00157,Furniture Basic,Home,Furniture,11244.06
PROD00158,Dresses Premium,Clothing,Dresses,16632.73
PROD00159,Jackets Max,Clothing,Jackets,42575.57
PROD00160,Fiction Basic,Books,Fiction,29220.37
PROD00161,Education Basic,Books,Education,9807.74
PROD00162,Cameras Premium,Electronics,Cameras,20714.05
PROD00163,Accessories Pro,Electronics,Accessories,17199.23
PROD00164,Business Premium,Books,Business,43133.46
PROD00165,Shirts Basic,Clothing,Shirts,31588.54
PROD00166,Shirts Plus,Clothing,Shirts,335.2
PROD00167,Jackets Pro,Clothing,Jackets,8513.43
PROD00168,Shirts Premium,Clothing,Shirts,39009.65
PROD00169,Accessories Max,Electronics,Accessories,21527.55
PROD00170,Lighting Premium,Home,Lighting,1982.49
PROD00171,Jeans Plus,Clothing,Jeans,44611.12
PROD00172,Non-Fiction Pro,Books,Non-Fiction,305.78
PROD00173,Shoes Pro,Clothing,Shoes,17283.05
PROD00174,Accessories Basic,Electronics,Accessories,29474.67
PROD00175,Shirts Basic,Clothing,Shirts,14980.29
PROD00176,Dresses Premium,Clothing,Dresses,29858.86
PROD00177,Furniture Premium,Home,Furniture,49774.07
PROD00178,Furniture Premium,Home,Furniture,9502.46
PROD00179,Decor Basic,Home,Decor,36385.72
PROD00180,Accessories Pro,Electronics,Accessories,29525.67
