item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM0000001,ORD000001,PROD00069,3,73444.26,34.73
ITEM0000002,ORD000001,PROD00166,5,572.17,39.51
ITEM0000003,ORD000001,PROD00118,3,58388.15,6.68
ITEM0000004,ORD000001,PROD00173,5,28248.91,10.32
ITEM0000005,ORD000002,PROD00015,3,57340.67,31.14
ITEM0000006,ORD000002,PROD00073,3,4490.5,31.73
ITEM0000007,ORD000003,PROD00024,5,29433.48,34.74
ITEM0000008,ORD000003,PROD00049,4,38270.54,30.86
ITEM0000009,ORD000003,PROD00062,4,58782.29,4.61
ITEM0000010,ORD000004,PROD00197,1,8463.2,18.31
ITEM0000011,ORD000004,PROD00002,1,20730.09,20.84
ITEM0000012,ORD000004,PROD00136,4,12025.55,3.15
ITEM0000013,ORD000004,PROD00082,5,49932.19,2.33
ITEM0000014,ORD000005,PROD00129,1,68795.17,17.77
ITEM0000015,ORD000005,PROD00103,1,53453.36,23.1
ITEM0000016,ORD000005,PROD00044,2,51082.76,30.59
ITEM0000017,ORD000006,PROD00038,1,62745.51,3.62
ITEM0000018,ORD000006,PROD00113,5,38597.59,27.72
ITEM0000019,ORD000006,PROD00189,5,7619.25,27.1
ITEM0000020,ORD000007,PROD00157,2,12969.59,14.28
ITEM0000021,ORD000007,PROD00142,1,33914.24,8.39
ITEM0000022,ORD000007,PROD00172,4,491.16,7.94
ITEM0000023,ORD000007,PROD00187,5,36666.67,30.37
ITEM0000024,ORD000007,PROD00083,2,70053.81,16.74
ITEM0000025,ORD000008,PROD00089,4,43050.99,5.37
ITEM0000026,ORD000008,PROD00158,3,21748.2,33.05
ITEM0000027,ORD000009,PROD00133,1,50494.48,32.17
ITEM0000028,ORD000009,PROD00124,3,31892.84,21.59
ITEM0000029,ORD000009,PROD00141,4,20839.79,6.98
ITEM0000030,ORD000009,PROD00027,4,75870.15,19.27
ITEM0000031,ORD000009,PROD00184,3,9272.61,39.47
ITEM0000032,ORD000010,PROD00021,4,16790.41,13.44
ITEM0000033,ORD000010,PROD00068,3,46202.01,5.76
ITEM0000034,ORD000011,PROD00109,4,55802.35,20.14
ITEM0000035,ORD000011,PROD00115,4,66590.56,21.67
ITEM0000036,ORD000012,PROD00121,3,68227.41,30.34
ITEM0000037,ORD000012,PROD00085,2,42346.29,4.62
ITEM0000038,ORD000012,PROD00076,2,63209.49,23.25
ITEM0000039,ORD000012,PROD00072,2,7366.35,35.62
ITEM0000040,ORD000013,PROD00177,5,69906.43,27.82
ITEM0000041,ORD000014,PROD00170,3,2703.75,9.97
ITEM0000042,ORD000014,PROD00017,1,22560.0,11.15
ITEM0000043,ORD000014,PROD00179,3,60085.13,19.14
ITEM0000044,ORD000015,PROD00109,3,50389.19,36.84
ITEM0000045,ORD000015,PROD00185,3,17627.39,32.13
ITEM0000046,ORD000016,PROD00181,2,55598.5,2.48
ITEM0000047,ORD000016,PROD00034,4,51374.06,16.76
ITEM0000048,ORD000017,PROD00065,1,57256.49,5.22
ITEM0000049,ORD000017,PROD00133,3,37740.34,2.11
ITEM0000050,ORD000017,PROD00008,2,65381.36,36.54
ITEM0000051,ORD000017,PROD00081,4,15062.84,16.55
ITEM0000052,ORD000017,PROD00060,3,11720.42,34.89
ITEM0000053,ORD000018,PROD00108,1,37397.01,3.06
ITEM0000054,ORD000018,PROD00049,1,34133.79,33.9
ITEM0000055,ORD000018,PROD00017,4,27614.49,31.92
ITEM0000056,ORD000019,PROD00107,3,75892.21,20.43
ITEM0000057,ORD000019,PROD00020,4,53717.97,17.32
ITEM0000058,ORD000019,PROD00082,3,51332.43,37.2
ITEM0000059,ORD000019,PROD00179,5,57360.76,7.04
ITEM0000060,ORD000020,PROD00020,5,67817.11,15.25
ITEM0000061,ORD000020,PROD00044,3,67155.3,24.54
ITEM0000062,ORD000021,PROD00151,2,2748.56,35.62
ITEM0000063,ORD000021,PROD00183,5,89179.2,17.96
ITEM0000064,ORD000021,PROD00156,2,10446.01,3.17
ITEM0000065,ORD000021,PROD00135,2,57575.94,21.62
ITEM0000066,ORD000022,PROD00024,2,31328.95,8.32
ITEM0000067,ORD000022,PROD00188,4,10181.05,39.21
ITEM0000068,ORD000022,PROD00194,4,58618.33,29.96
ITEM0000069,ORD000022,PROD00043,2,26882.71,21.66
ITEM0000070,ORD000023,PROD00048,4,2791.86,28.9
ITEM0000071,ORD000023,PROD00121,5,71297.45,19.32
ITEM0000072,ORD000023,PROD00037,3,32491.63,3.2
ITEM0000073,ORD000024,PROD00105,5,47706.56,8.87
ITEM0000074,ORD000025,PROD00194,2,44851.61,17.01
ITEM0000075,ORD000025,PROD00163,2,29258.38,34.05
ITEM0000076,ORD000025,PROD00181,1,37093.1,13.22
ITEM0000077,ORD000026,PROD00136,2,9402.77,5.03
ITEM0000078,ORD000026,PROD00092,2,12712.02,13.78
ITEM0000079,ORD000026,PROD00181,4,56851.44,0.91
ITEM0000080,ORD000027,PROD00066,2,37478.92,13.51
ITEM0000081,ORD000027,PROD00011,5,31304.68,31.59
ITEM0000082,ORD000028,PROD00149,4,52960.25,11.73
ITEM0000083,ORD000028,PROD00116,4,43302.44,21.5
ITEM0000084,ORD000029,PROD00093,4,9067.6,34.57
ITEM0000085,ORD000030,PROD00166,3,457.91,0.41
ITEM0000086,ORD000030,PROD00118,3,50696.91,37.1
ITEM0000087,ORD000030,PROD00060,4,12981.73,9.13
ITEM0000088,ORD000030,PROD00136,2,12644.14,2.82
ITEM0000089,ORD000031,PROD00073,3,5871.32,36.72
ITEM0000090,ORD000031,PROD00140,1,47556.53,16.93
ITEM0000091,ORD000032,PROD00062,3,64910.27,23.71
ITEM0000092,ORD000032,PROD00174,2,41123.71,1.27
ITEM0000093,ORD000033,PROD00007,1,26545.14,37.76
ITEM0000094,ORD000033,PROD00163,2,25852.93,1.16
ITEM0000095,ORD000033,PROD00143,5,7543.41,34.69
ITEM0000096,ORD000033,PROD00153,5,42257.83,14.23
ITEM0000097,ORD000034,PROD00160,1,43204.85,0.68
ITEM0000098,ORD000034,PROD00014,2,61186.03,11.21
ITEM0000099,ORD000034,PROD00083,3,62100.97,0.85
ITEM0000100,ORD000034,PROD00141,4,27265.93,20.46
ITEM0000101,ORD000034,PROD00199,3,8462.03,14.63
ITEM0000102,ORD000035,PROD00169,5,33743.36,11.83
ITEM0000103,ORD000035,PROD00159,3,63771.48,24.46
ITEM0000104,ORD000035,PROD00095,3,20806.5,13.7
ITEM0000105,ORD000035,PROD00119,2,26324.11,15.47
ITEM0000106,ORD000036,PROD00182,3,22032.38,38.28
ITEM0000107,ORD000036,PROD00162,1,30893.05,24.97
ITEM0000108,ORD000036,PROD00022,3,45916.08,34.13
ITEM0000109,ORD000036,PROD00114,2,46952.97,2.47
ITEM0000110,ORD000036,PROD00030,5,66325.38,20.02
ITEM0000111,ORD000037,PROD00101,1,45907.92,24.41
ITEM0000112,ORD000038,PROD00024,3,25960.98,28.42
ITEM0000113,ORD000038,PROD00077,1,60947.21,1.61
ITEM0000114,ORD000039,PROD00122,5,73712.2,18.53
ITEM0000115,ORD000039,PROD00162,-3,34017.18,5.66
ITEM0000116,ORD000040,PROD00049,3,37304.97,9.68
ITEM0000117,ORD000041,PROD00044,3,68380.05,11.43
ITEM0000118,ORD000042,PROD00150,4,16482.64,25.76
ITEM0000119,ORD000042,PROD00052,1,73855.37,3.61
ITEM0000120,ORD000043,PROD00142,3,37489.02,26.4
ITEM0000121,ORD000044,PROD00123,1,77706.95,11.29
ITEM0000122,ORD000044,PROD00147,5,45066.99,3.54
ITEM0000123,ORD000044,PROD00082,2,76957.17,13.0
ITEM0000124,ORD000045,PROD00003,1,35567.41,12.1
ITEM0000125,ORD000045,PROD00023,2,28919.12,20.09
ITEM0000126,ORD000045,PROD00142,1,29036.25,24.03
ITEM0000127,ORD000045,PROD00153,4,53275.17,35.7
ITEM0000128,ORD000046,PROD00140,3,50970.87,4.64
ITEM0000129,ORD000046,PROD00107,1,81104.65,24.77
ITEM0000130,ORD000046,PROD00023,2,32712.85,39.76
ITEM0000131,ORD000046,PROD00048,3,2365.93,12.21
ITEM0000132,ORD000047,PROD00042,5,50133.84,21.8
ITEM0000133,ORD000048,PROD00183,3,60201.09,4.68
ITEM0000134,ORD000048,PROD00018,5,11551.44,1.44
ITEM0000135,ORD000048,PROD00149,2,42060.26,15.7
ITEM0000136,ORD000048,PROD00098,2,40635.12,38.36
ITEM0000137,ORD000048,PROD00174,4,50599.2,25.04
ITEM0000138,ORD000049,PROD00014,4,57000.72,34.33
ITEM0000139,ORD000049,PROD00077,5,63463.92,3.69
ITEM0000140,ORD000049,PROD00183,5,82322.03,19.17
ITEM0000141,ORD000049,PROD00179,1,42877.3,28.89
ITEM0000142,ORD000050,PROD00006,2,49948.89,31.96
ITEM0000143,ORD000050,PROD00196,4,25626.81,19.72
ITEM0000144,ORD000051,PROD00133,1,49922.17,19.84
ITEM0000145,ORD000051,PROD00122,2,57978.93,34.39
ITEM0000146,ORD000051,PROD00198,2,20834.16,15.09
ITEM0000147,ORD000052,PROD00031,-1,36204.25,38.39
ITEM0000148,ORD000052,PROD00101,1,31247.17,38.9
ITEM0000149,ORD000053,PROD00081,4,23418.99,38.84
ITEM0000150,ORD000054,PROD00195,2,4392.04,15.96
ITEM0000151,ORD000054,PROD00147,1,34768.93,24.3
ITEM0000152,ORD000055,PROD00153,2,60216.88,9.91
ITEM0000153,ORD000055,PROD00102,1,26741.16,4.32
ITEM0000154,ORD000055,PROD00176,5,49958.49,31.25
ITEM0000155,ORD000055,PROD00155,1,30481.86,1.94
ITEM0000156,ORD000056,PROD00051,1,22234.89,16.25
ITEM0000157,ORD000056,PROD00064,4,21141.61,35.27
ITEM0000158,ORD000056,PROD00047,5,20207.79,24.92
ITEM0000159,ORD000056,PROD00056,2,67705.91,23.99
ITEM0000160,ORD000057,PROD00148,2,58891.17,35.57
ITEM0000161,ORD000058,PROD00178,3,12821.19,39.96
ITEM0000162,ORD000058,PROD00037,5,37855.5,35.77
ITEM0000163,ORD000058,PROD00176,1,52990.48,36.77
ITEM0000164,ORD000058,PROD00096,2,3826.43,9.41
ITEM0000165,ORD000058,PROD00141,5,32790.34,21.91
ITEM0000166,ORD000059,PROD00051,2,19728.68,1.3
ITEM0000167,ORD000059,PROD00102,4,30517.64,14.56
ITEM0000168,ORD000059,PROD00145,4,41736.15,10.94
ITEM0000169,ORD000059,PROD00163,4,30281.16,10.63
ITEM0000170,ORD000060,PROD00060,4,11279.94,18.29
ITEM0000171,ORD000060,PROD00126,2,65170.18,19.23
ITEM0000172,ORD000060,PROD00197,3,6862.91,12.08
ITEM0000173,ORD000060,PROD00023,1,36605.65,10.77
ITEM0000174,ORD000061,PROD00095,5,21944.28,12.46
ITEM0000175,ORD000062,PROD00180,1,41036.25,15.25
ITEM0000176,ORD000062,PROD00098,4,60722.57,34.39
ITEM0000177,ORD000063,PROD00020,1,70134.99,13.67
ITEM0000178,ORD000063,PROD00023,3,30766.15,14.03
ITEM0000179,ORD000063,PROD00133,4,43143.19,9.87
ITEM0000180,ORD000063,PROD00156,3,16137.7,37.72
ITEM0000181,ORD000064,PROD00128,3,70889.49,7.94
ITEM0000182,ORD000064,PROD00116,3,37525.65,12.59
ITEM0000183,ORD000065,PROD00146,4,48261.78,9.23
ITEM0000184,ORD000065,PROD00091,-1,36452.13,38.21
ITEM0000185,ORD000065,PROD00173,2,20852.54,31.02
ITEM0000186,ORD000066,PROD00134,4,30453.93,27.48
ITEM0000187,ORD000066,PROD00097,4,67855.78,32.12
ITEM0000188,ORD000067,PROD00136,1,14479.98,12.99
ITEM0000189,ORD000067,PROD00060,4,9985.4,31.6
ITEM0000190,ORD000067,PROD00137,1,53357.66,24.18
ITEM0000191,ORD000067,PROD00095,3,20907.2,4.54
ITEM0000192,ORD000068,PROD00106,1,51296.21,32.65
ITEM0000193,ORD000068,PROD00178,5,12262.04,34.86
ITEM0000194,ORD000069,PROD00119,4,29115.5,13.23
ITEM0000195,ORD000069,PROD00009,3,50759.86,4.96
ITEM0000196,ORD000069,PROD00004,5,4824.41,10.2
ITEM0000197,ORD000069,PROD00177,4,69654.97,13.17
ITEM0000198,ORD000070,PROD00022,4,65108.48,27.93
ITEM0000199,ORD000070,PROD00190,4,36321.82,13.71
ITEM0000200,ORD000071,PROD00002,1,19405.03,17.87
ITEM0000201,ORD000071,PROD00004,4,4108.8,31.33
ITEM0000202,ORD000071,PROD00029,3,22661.63,9.37
ITEM0000203,ORD000071,PROD00107,4,78971.33,22.03
ITEM0000204,ORD000071,PROD00191,4,23257.66,29.29
ITEM0000205,ORD000072,PROD00125,1,53142.09,0.51
ITEM0000206,ORD000072,PROD00184,1,6981.87,28.48
ITEM0000207,ORD000072,PROD00024,3,25420.4,38.08
ITEM0000208,ORD000072,PROD00176,2,33700.74,10.82
ITEM0000209,ORD000072,PROD00175,5,19642.38,11.27
ITEM0000210,ORD000073,PROD00045,2,65270.65,14.02
ITEM0000211,ORD000073,PROD00161,5,12175.28,8.53
ITEM0000212,ORD000073,PROD00181,5,54273.44,28.52
ITEM0000213,ORD000074,PROD00169,2,24407.82,5.54
ITEM0000214,ORD000074,PROD00126,4,56026.43,18.25
ITEM0000215,ORD000074,PROD00147,1,43522.28,13.67
ITEM0000216,ORD000074,PROD00143,1,8771.33,34.61
ITEM0000217,ORD000075,PROD00010,1,39454.49,23.07
ITEM0000218,ORD000075,PROD00173,4,20454.18,12.03
ITEM0000219,ORD000075,PROD00134,3,23999.85,25.99
ITEM0000220,ORD000075,PROD00153,5,57143.8,9.64
ITEM0000221,ORD000076,PROD00118,4,43358.11,29.27
ITEM0000222,ORD000076,PROD00093,5,10215.34,34.32
ITEM0000223,ORD000076,PROD00078,2,24104.79,40.0
ITEM0000224,ORD000076,PROD00045,3,73796.13,33.55
ITEM0000225,ORD000076,PROD00188,4,7661.91,18.75
ITEM0000226,ORD000077,PROD00031,1,28013.55,30.04
ITEM0000227,ORD000077,PROD00162,5,34795.85,22.02
ITEM0000228,ORD000077,PROD00038,2,50180.54,22.87
ITEM0000229,ORD000077,PROD00088,5,20712.77,16.23
ITEM0000230,ORD000077,PROD00063,2,49008.55,14.42
ITEM0000231,ORD000078,PROD00141,3,26847.8,16.39
ITEM0000232,ORD000078,PROD00056,5,56600.91,4.34
ITEM0000233,ORD000079,PROD00004,4,3019.56,30.28
ITEM0000234,ORD000080,PROD00006,1,56864.76,20.48
ITEM0000235,ORD000080,PROD00115,4,71575.51,37.57
ITEM0000236,ORD000080,PROD00012,1,60854.47,33.63
ITEM0000237,ORD000080,PROD00063,1,49692.82,35.57
ITEM0000238,ORD000080,PROD00125,3,66383.75,23.75
ITEM0000239,ORD000081,PROD00126,4,76063.14,7.04
ITEM0000240,ORD000081,PROD00185,1,21567.78,31.94
ITEM0000241,ORD000081,PROD00078,3,31696.85,15.8
ITEM0000242,ORD000081,PROD00139,4,46325.3,14.42
ITEM0000243,ORD000082,PROD00023,5,26410.79,39.92
ITEM0000244,ORD000082,PROD00198,4,27187.55,0.14
ITEM0000245,ORD000082,PROD00154,1,51957.78,13.35
ITEM0000246,ORD000083,PROD00194,4,59684.83,15.89
ITEM0000247,ORD000083,PROD00039,2,24403.24,5.0
ITEM0000248,ORD000084,PROD00170,3,3502.49,8.91
ITEM0000249,ORD000084,PROD00066,-3,45907.89,39.96
ITEM0000250,ORD000084,PROD00089,3,45225.8,1.57
ITEM0000251,ORD000084,PROD00044,3,46284.1,20.6
ITEM0000252,ORD000085,PROD00166,4,543.44,14.72
ITEM0000253,ORD000085,PROD00039,5,26525.84,30.4
ITEM0000254,ORD000086,PROD00152,2,49248.06,36.97
ITEM0000255,ORD000086,PROD00007,2,28291.44,19.7
ITEM0000256,ORD000086,PROD00016,3,54855.73,21.31
ITEM0000257,ORD000086,PROD00185,4,15400.64,37.86
ITEM0000258,ORD000086,PROD00092,4,12490.12,31.46
ITEM0000259,ORD000087,PROD00128,3,69219.19,8.32
ITEM0000260,ORD000087,PROD00173,2,27691.29,32.98
ITEM0000261,ORD000088,PROD00002,5,16466.31,26.2
ITEM0000262,ORD000089,PROD00009,3,36683.91,9.33
ITEM0000263,ORD000089,PROD00053,1,76477.89,21.5
ITEM0000264,ORD000089,PROD00191,2,26462.03,14.69
ITEM0000265,ORD000090,PROD00033,4,34625.38,25.04
ITEM0000266,ORD000091,PROD00069,4,55544.23,20.95
ITEM0000267,ORD000092,PROD00193,4,354.93,15.43
ITEM0000268,ORD000092,PROD00176,-3,45967.22,11.83
ITEM0000269,ORD000092,PROD00174,3,38759.61,29.12
ITEM0000270,ORD000093,PROD00025,5,22038.87,18.54
ITEM0000271,ORD000093,PROD00095,4,24245.67,12.93
