order_id,customer_id,order_date,status,region_code
ORD000001,CUST00367,2025-12-06 23:35:23,SHIPPED,NORTH
ORD000002,CUST00351,2025-05-23 00:55:59,DELIVERED,WEST
ORD000003,CUST00395,2026-06-20 20:42:48,DELIVERED,SOUTH
ORD000004,CUST00713,2026-07-19 05:17:04,RETURNED,SOUTH
ORD000005,CUST00934,2026-04-04 20:23:01,DELIVERED,WEST
ORD000006,CUST00389,2025-10-06 12:46:05,CANCELLED,SOUTH
ORD000007,CUST00500,2025-03-29 17:18:25,DELIVERED,NORTH
ORD000008,CUST00322,2025-01-10 14:24:39,DELIVERED,CENTRAL
ORD000009,CUST00230,2026-06-05 06:48:13,DELIVERED,CENTRAL
ORD000010,CUST00678,2026-07-19 09:46:28,DELIVERED,WEST
ORD000011,CUST00847,2026-03-10 16:17:27,DELIVERED,NORTH
ORD000012,CUST00161,2026-01-28 16:27:45,CANCELLED,SOUTH
ORD000013,CUST00504,2025-09-07 01:02:51,RETURNED,NORTH
ORD000014,CUST00564,2026-05-15 16:18:14,CANCELLED,NORTH
ORD000015,CUST00821,2026-03-22 02:08:43,CANCELLED,WEST
ORD000016,CUST00510,23-05-2026,DELIVERED,NORTH
ORD000017,CUST00001,2025-03-12 14:24:56,RETURNED,EAST
ORD000018,CUST00576,2025-06-10 15:59:12,DELIVERED,EAST
ORD000019,CUST00056,2025-06-23 03:29:41,DELIVERED,CENTRAL
ORD000020,CUST00734,2026-05-26 10:29:04,DELIVERED,NORTH
ORD000021,CUST00228,2025-01-02 16:57:14,CANCELLED,EAST
ORD000022,CUST00383,2026-06-30 08:01:08,CANCELLED,WEST
ORD000023,CUST00735,2026-07-31 17:24:22,SHIPPED,CENTRAL
ORD000024,CUST00124,2025-11-02 04:07:17,CANCELLED,SOUTH
ORD000025,CUST00111,2025-11-18 22:17:14,DELIVERED,CENTRAL
ORD000026,CUST00914,2025-12-16 22:00:51,DELIVERED,CENTRAL
ORD000027,CUST00511,2025-01-04 08:51:33,PLACED,WEST
ORD000028,CUST00495,2026-01-30 20:00:43,RETURNED,CENTRAL
ORD000029,CUST00835,2025-04-10 17:12:35,DELIVERED,CENTRAL
ORD000030,CUST00517,2025-10-26 18:37:52,DELIVERED,SOUTH
ORD000031,CUST00987,2025-09-24 07:21:04,DELIVERED,SOUTH
ORD000032,CUST00617,2026-06-28 17:12:43,DELIVERED,CENTRAL
ORD000033,CUST00729,2026-07-27 07:17:42,DELIVERED,SOUTH
ORD000034,CUST00732,2025-08-14 16:47:39,RETURNED,SOUTH
ORD000035,CUST00666,2025-05-19 02:40:08,DELIVERED,EAST
ORD000036,CUST00780,2025-10-01 14:11:18,DELIVERED,WEST
ORD000037,CUST00916,2026-02-19 16:40:10,CANCELLED,NORTH
ORD000038,CUST00026,2025-10-23 19:56:14,DELIVERED,SOUTH
ORD000039,CUST00805,2025-05-06 00:03:11,DELIVERED,SOUTH
ORD000040,CUST00708,2025-08-18 05:49:08,DELIVERED,EAST
ORD000041,CUST00105,2026-04-24 13:06:03,DELIVERED,SOUTH
ORD000042,CUST00575,2025-10-30 01:22:22,DELIVERED,EAST
ORD000043,CUST00049,2025-10-24 09:12:56,RETURNED,EAST
ORD000044,CUST00056,2025-01-11 01:41:22,SHIPPED,WEST
ORD000045,CUST00934,2026-05-08 06:40:25,DELIVERED,CENTRAL
ORD000046,CUST00618,2025-06-02 14:26:56,RETURNED,EAST
ORD000047,CUST00700,2025-02-27 20:12:09,SHIPPED,CENTRAL
ORD000048,CUST00042,2025-11-29 19:57:52,SHIPPED,SOUTH
ORD000049,CUST00262,2025-01-05 09:13:58,DELIVERED,SOUTH
ORD000050,,2025-09-08 14:15:34,DELIVERED,CENTRAL
ORD000051,CUST00309,2026-01-17 00:31:56,DELIVERED,NORTH
ORD000052,CUST00326,2026-02-13 02:04:26,SHIPPED,NORTH
ORD000053,CUST00164,2025-11-20 01:31:13,DELIVERED,EAST
ORD000054,CUST00219,2026-05-31 05:27:03,DELIVERED,SOUTH
ORD000055,CUST00634,2026-02-17 01:12:58,DELIVERED,NORTH
ORD000056,CUST00355,2025-12-13 03:50:22,DELIVERED,CENTRAL
ORD000057,CUST00041,2026-06-15 03:40:46,DELIVERED,NORTH
ORD000058,CUST00554,2026-07-17 07:53:00,RETURNED,EAST
ORD000059,CUST00521,2025-12-13 01:46:57,SHIPPED,SOUTH
ORD000060,CUST00085,2025-03-16 12:45:27,RETURNED,CENTRAL
ORD000061,CUST00642,2025-02-20 20:28:59,DELIVERED,SOUTH
ORD000062,CUST00435,2025-03-22 17:20:10,CANCELLED,WEST
ORD000063,CUST00963,2025-02-26 00:25:24,SHIPPED,WEST
ORD000064,CUST00039,2025-03-09 23:30:28,SHIPPED,EAST
ORD000065,CUST00589,2025-06-26 19:37:19,DELIVERED,WEST
ORD000066,CUST00444,03-09-2025,DELIVERED,CENTRAL
ORD000067,,2026-07-14 11:05:53,DELIVERED,CENTRAL
ORD000068,,2025-02-26 09:09:55,DELIVERED,EAST
ORD000069,CUST00309,2026-04-17 03:12:24,DELIVERED,WEST
ORD000070,CUST00842,2026-05-29 04:46:21,SHIPPED,SOUTH
ORD000071,CUST00401,2026-02-28 21:02:29,DELIVERED,EAST
ORD000072,CUST00937,2026-07-21 11:35:43,RETURNED,NORTH
ORD000073,CUST00569,2025-04-20 19:23:59,PLACED,CENTRAL
